Manchester City  Premier League  1,05 Bill. �
Chelsea FC  Premier League  941,00 Mill. €
Liverpool FC  Premier League  899,50 Mill. €
Manchester United  Premier League  839,00 Mill. €
Tottenham Hotspur  Premier League  834,50 Mill. €
Arsenal FC  Premier League  557,50 Mill. €
Everton FC  Premier League  405,50 Mill. €
Leicester City  Premier League  321,00 Mill. €
West Ham United  Premier League  295,00 Mill. €
Southampton FC  Premier League  236,85 Mill. €
Villarreal CF  Premier League  222,50 Mill. €
Crystal Palace  Premier League  217,33 Mill. €
Burnley FC  Premier League  184,75 Mill. €
Brighton & Hove Albion  Premier League  176,10 Mill. €
Newcastle United  Premier League  172,70 Mill. €
Watford FC  Premier League  162,00 Mill. €
Wolverhampton Wanderers  Premier League  161,80 Mill. €
AFC Bournemouth  Premier League  129,50 Mill. €
Huddersfield Town  Premier League  107,10 Mill. €
